Open,High,Low,Close,Volume
0.183750004,0.189999998,0.182667002,0.1875,524568000
0.190583006,0.193416998,0.187832996,0.188082993,556548000
0.190417007,0.196500003,0.188916996,0.195417002,637980000
0.192083001,0.197249994,0.191833004,0.195250005,318420000
0.200000003,0.200917006,0.193582997,0.193749994,643800000
0.193832994,0.194250003,0.183833003,0.184416994,700824000
0.188167006,0.188583001,0.182417005,0.182583004,649608000
0.185582995,0.189082995,0.183249995,0.187000006,571956000
0.185917005,0.186250001,0.180916995,0.183667004,615000000
0.184750006,0.185000002,0.174500003,0.175082996,498336000
0.177917004,0.17825,0.171749994,0.173333004,564516000
0.172417,0.172417,0.166583002,0.167916998,424752000
0.170750007,0.172999993,0.168833002,0.170416996,394584000
0.169917002,0.171000004,0.167082995,0.167750001,252576000
0.166666999,0.170750007,0.163582996,0.164416999,482376000
0.165333003,0.169249997,0.162499994,0.164666995,534336000
0.164917007,0.167500004,0.160667002,0.161750004,266568000
0.162667006,0.167082995,0.161583006,0.166333005,430308000
0.165832996,0.169833004,0.165417001,0.169166997,264660000
0.173666999,0.174250007,0.166417003,0.167667001,590652000
0.168833002,0.170750007,0.166832998,0.168750003,329124000
0.171167001,0.171749994,0.166666999,0.167333007,299376000
0.168332994,0.173333004,0.167667001,0.173083007,363852000
0.168500006,0.173250005,0.168500006,0.170582995,329268000
0.172499999,0.172749996,0.162499994,0.162750006,505620000
0.164499998,0.164582998,0.159250006,0.160500005,294948000
0.158583,0.160249993,0.149333,0.151082993,575388000
0.152999997,0.156167001,0.151082993,0.151832998,344136000
0.150417,0.152916998,0.146917,0.147166997,430056000
0.147,0.147166997,0.138082996,0.140833005,1114500000
0.136916995,0.140833005,0.135749996,0.137583002,676044000
0.139249995,0.141666993,0.135832995,0.137333006,567108000
0.132499993,0.136167005,0.128582999,0.131249994,901608000
0.132583007,0.134000003,0.129500002,0.130333006,611352000
0.134333,0.134499997,0.126499996,0.126499996,464700000
0.126833007,0.129333004,0.125082999,0.127917007,461088000
0.127832994,0.130999997,0.126582995,0.130500004,341544000
0.132499993,0.132667005,0.122166999,0.122583002,613416000
0.123999998,0.125833005,0.119999997,0.125166997,521460000
0.126000002,0.126166999,0.120999999,0.121832997,371496000
0.123416997,0.124499999,0.117250003,0.118417002,503208000
0.119000003,0.122667,0.115332998,0.122332998,789888000
0.122083001,0.122500002,0.115832999,0.11925,505116000
0.120917,0.130167007,0.120333001,0.127083004,747360000
0.125499994,0.130833,0.125249997,0.1285,403956000
0.128582999,0.130667001,0.126416996,0.130167007,420984000
0.13075,0.130833,0.122417003,0.123416997,741540000
0.122083001,0.125917003,0.121917002,0.124750003,507816000
0.126083001,0.126666993,0.119167,0.121333003,859920000
0.084250003,0.085000001,0.077500001,0.078583002,5088948000
0.080582999,0.083916999,0.07925,0.082083002,1579212000
0.086667001,0.089417003,0.085249998,0.088583,2051916000
0.087416999,0.087416999,0.085417002,0.086000003,963816000
0.08625,0.086499996,0.083833002,0.083999999,654384000
0.086000003,0.088082999,0.085249998,0.087499999,815700000
0.086499996,0.088832997,0.086000003,0.086667001,531732000
0.088583,0.091917001,0.087750003,0.091417,744912000
0.091833003,0.097499996,0.091082998,0.097499996,872424000
0.096917003,0.098667003,0.095666997,0.097167,724404000
0.096666999,0.104332998,0.096332997,0.102917001,1199040000
0.104583003,0.106250003,0.104000002,0.105167001,800028000
0.106666997,0.107166998,0.099250004,0.10125,939420000
0.103500001,0.106333002,0.101582997,0.105582997,721308000
0.105416998,0.1065,0.104583003,0.105833001,612720000
0.105916999,0.109333001,0.105833001,0.107832998,565128000
0.107417002,0.108000003,0.104166999,0.104249999,628056000
0.104667,0.105167001,0.100583002,0.103832997,587064000
0.102499999,0.107332997,0.101167001,0.105833001,591744000
0.106333002,0.111000001,0.105333,0.110166997,770088000
0.106833003,0.108999997,0.105916999,0.106833003,715056000
0.107500002,0.109750003,0.103417002,0.104832999,727332000
0.104916997,0.105833001,0.102417,0.102666996,834984000
0.105167001,0.114749998,0.104667,0.112916999,1299324000
0.111000001,0.117833003,0.110666998,0.117250003,1039344000
0.117082998,0.121832997,0.116916999,0.119499996,967752000
0.118417002,0.120833002,0.1175,0.119999997,683556000
0.116333,0.116667002,0.111832999,0.113333002,1163904000
0.115249999,0.118749999,0.114832997,0.117582999,810024000
0.118500002,0.123083003,0.1175,0.122417003,1003800000
0.119999997,0.125750005,0.118500002,0.122249998,794628000
0.125,0.126499996,0.123499997,0.125499994,503904000
